raw_time,sleep_date,days_since_birth,months_since_birth,last_sleep_end,nap_time,wake_time,duration,hours_duration,hour_of_day,sleep_day,sleep_month,sleep_year,wake_window,wake_window_hours,night_sleep,nap_num,,,
9/13/23 3:38 AM,13/09/2023,26,0,null,3:38,5:30,112,1.87,3,13,9,2023,null,null,FALSE,0,,,
9/13/23 9:29 AM,13/09/2023,26,0,5:30,9:29,11:00,91,1.52,9,13,9,2023,239,3.983333333,FALSE,1,,,
9/13/23 12:15 PM,13/09/2023,26,0,11:00,12:15,13:26,71,1.18,12,13,9,2023,75,1.25,FALSE,2,,,
9/13/23 2:12 PM,13/09/2023,26,0,13:26,14:12,15:37,85,1.42,14,13,9,2023,46,0.766666667,FALSE,3,,,
9/13/23 5:14 PM,13/09/2023,26,0,15:37,17:14,18:24,70,1.17,17,13,9,2023,97,1.616666667,FALSE,4,,,
9/13/23 7:26 PM,13/09/2023,26,0,18:24,19:26,20:50,84,1.40,19,13,9,2023,62,1.033333333,FALSE,5,,,
9/13/23 10:05 PM,13/09/2023,26,0,20:50,22:05,22:11,6,0.10,22,13,9,2023,75,1.25,FALSE,6,,,
9/13/23 10:12 PM,13/09/2023,26,0,22:11,22:12,22:40,28,0.47,22,13,9,2023,1,0.016666667,FALSE,7,,,
9/14/23 0:45 AM,14/09/2023,27,0,22:40,0:45,1:15,30,0.50,1,13,9,2023,105,1.75,TRUE,0,,,
9/14/23 4:06 AM,14/09/2023,27,0,1:15,4:06,6:10,124,2.07,4,14,9,2023,171,2.85,FALSE,1,,,
9/14/23 7:10 AM,14/09/2023,27,0,6:10,7:10,7:45,35,0.58,7,14,9,2023,60,1,FALSE,2,,,
9/14/23 8:15 AM,14/09/2023,27,0,7:45,8:15,8:50,35,0.58,8,14,9,2023,30,0.5,FALSE,3,,,
9/14/23 9:57 AM,14/09/2023,27,0,8:50,9:57,11:16,79,1.32,9,14,9,2023,67,1.116666667,FALSE,4,,,
9/14/23 12:15 PM,14/09/2023,27,0,11:16,12:15,14:10,115,1.92,12,14,9,2023,59,0.983333333,FALSE,5,,,
9/14/23 3:14 PM,14/09/2023,27,0,14:10,15:14,15:49,35,0.58,15,14,9,2023,1,0.016666667,FALSE,6,,,
9/14/23 6:25 PM,14/09/2023,27,0,15:49,18:25,19:10,45,0.75,18,14,9,2023,156,2.6,FALSE,7,,,
9/14/23 9:32 PM,14/09/2023,27,0,19:10,21:32,22:30,58,0.97,21,14,9,2023,142,2.366666667,FALSE,8,,,
9/14/23 11:56 PM,14/09/2023,27,0,22:30,23:56,1:55,119,1.98,23,14,9,2023,86,1.433333333,TRUE,0,,,
9/15/23 2:58 AM,15/09/2023,28,0,1:55,2:58,4:18,80,1.33,2,15,9,2023,63,1.05,FALSE,1,,,
9/15/23 5:20 AM,15/09/2023,28,0,4:18,5:20,6:20,60,1.00,5,15,9,2023,62,1.033333333,FALSE,2,,,
9/15/23 7:20 AM,15/09/2023,28,0,6:20,7:20,9:20,120,2.00,7,15,9,2023,60,1,FALSE,3,,,
9/15/23 10:15 AM,15/09/2023,28,0,9:20,10:15,11:40,85,1.42,10,15,9,2023,55,0.916666667,FALSE,4,,,
9/15/23 12:47 PM,15/09/2023,28,0,11:40,12:47,14:00,73,1.22,12,15,9,2023,67,1.116666667,FALSE,5,,,
9/15/23 3:25 PM,15/09/2023,28,0,14:00,15:25,17:25,120,2.00,15,15,9,2023,85,1.416666667,FALSE,6,,,
9/15/23 6:15 PM,15/09/2023,28,0,17:25,18:15,19:30,75,1.25,18,15,9,2023,50,0.833333333,FALSE,7,,,
9/15/23 8:55 PM,15/09/2023,28,0,19:30,20:55,21:08,13,0.22,20,15,9,2023,85,1.416666667,FALSE,8,,,
9/15/23 9:56 PM,15/09/2023,28,0,21:08,21:56,0:10,134,2.23,21,15,9,2023,48,0.8,FALSE,9,,,
9/16/23 2:00 AM,16/09/2023,29,0,0:10,2:00,2:30,30,0.50,2,16,9,2023,110,1.833333333,TRUE,0,,,
9/16/23 3:48 AM,16/09/2023,29,0,2:30,3:48,5:15,87,1.45,3,16,9,2023,78,1.3,FALSE,1,,,
9/16/23 6:20 AM,16/09/2023,29,0,5:15,6:20,7:54,94,1.57,6,16,9,2023,65,1.083333333,FALSE,2,,,
9/16/23 9:20 AM,16/09/2023,29,0,7:54,9:20,10:20,60,1.00,9,16,9,2023,86,1.433333333,FALSE,3,,,
9/16/23 11:34 AM,16/09/2023,29,0,10:20,11:34,11:40,6,0.10,11,16,9,2023,74,1.233333333,FALSE,4,,,
9/16/23 12:04 PM,16/09/2023,29,0,11:40,12:04,14:03,119,1.98,12,16,9,2023,24,0.4,FALSE,5,,,
9/16/23 2:45 PM,16/09/2023,29,0,14:03,14:45,16:40,115,1.92,14,16,9,2023,42,0.7,FALSE,6,,,
9/16/23 8:16 PM,16/09/2023,29,0,16:40,20:16,21:06,50,0.83,20,16,9,2023,216,3.6,FALSE,7,,,
9/16/23 11:09 PM,16/09/2023,29,0,21:06,23:09,2:46,217,3.62,23,16,9,2023,123,2.05,FALSE,8,,,
9/17/23 3:50 AM,17/09/2023,30,1,2:46,3:50,5:52,122,2.03,3,17,9,2023,64,1.066666667,TRUE,0,,,
9/17/23 7:00 AM,17/09/2023,30,1,5:52,7:00,8:21,81,1.35,7,17,9,2023,68,1.133333333,FALSE,1,,,
9/17/23 10:00 AM,17/09/2023,30,1,8:21,10:00,10:55,55,0.92,10,17,9,2023,99,1.65,FALSE,2,,,
9/17/23 11:44 AM,17/09/2023,30,1,10:55,11:44,13:30,106,1.77,11,17,9,2023,49,0.816666667,FALSE,3,,,
9/17/23 3:30 PM,17/09/2023,30,1,13:30,15:30,16:30,0:00,1.00,15,17,9,2023,120,2,FALSE,4,,,
9/17/23 6:45 PM,17/09/2023,30,1,16:30,18:45,19:30,45,0.75,18,17,9,2023,135,2.25,FALSE,5,,,
9/17/23 8:45 PM,17/09/2023,30,1,19:30,20:45,22:00,0:00,1.25,20,17,9,2023,75,1.25,FALSE,6,,,
9/17/23 11:20 PM,17/09/2023,30,1,22:00,23:20,1:21,121,2.02,23,17,9,2023,80,1.333333333,FALSE,7,,,
9/18/23 2:32 AM,18/09/2023,31,1,1:21,2:32,4:42,130,2.17,2,18,9,2023,71,1.183333333,TRUE,0,,,
9/18/23 5:35 AM,18/09/2023,31,1,4:42,5:35,7:40,125,2.08,5,18,9,2023,53,0.883333333,FALSE,1,,,
9/18/23 8:20 AM,18/09/2023,31,1,7:40,8:20,9:35,75,1.25,8,18,9,2023,40,0.666666667,FALSE,2,,,
9/18/23 9:36 AM,18/09/2023,31,1,9:35,9:36,10:45,69,1.15,9,18,9,2023,1,0.016666667,FALSE,3,,,
9/18/23 11:24 AM,18/09/2023,31,1,10:45,11:24,13:23,119,1.98,11,18,9,2023,39,0.65,FALSE,4,,,
9/18/23 2:41 PM,18/09/2023,31,1,13:23,14:41,16:07,86,1.43,14,18,9,2023,78,1.3,FALSE,5,,,
9/18/23 5:00 PM,18/09/2023,31,1,16:07,17:00,17:35,35,0.58,17,18,9,2023,53,0.883333333,FALSE,6,,,
9/18/23 8:11 PM,18/09/2023,31,1,17:35,20:11,21:57,106,1.77,20,18,9,2023,156,2.6,FALSE,7,,,
9/18/23 10:56 PM,18/09/2023,31,1,21:57,22:56,23:18,22,0.37,22,18,9,2023,59,0.983333333,FALSE,8,,,
9/19/23 1:21 AM,19/09/2023,32,1,23:18,1:21,2:36,75,1.25,1,19,9,2023,122,2.033333333,TRUE,0,,,
9/19/23 5:14 AM,19/09/2023,32,1,2:36,5:14,6:57,103,1.72,5,19,9,2023,158,2.633333333,FALSE,1,,,
